nr,genres,popularity,spoken_languages,vote_average,keywords,budget,adult
44,"[14, 18, 9648]",10.419,"['English', 'German', 'Swedish', 'Yiddish']",7.8,"[380, 697, 1192, 2637, 3737, 3739, 4333, 5561, 162846, 207317, 236170]",6000000,False
45,"[80, 18, 53]",17.902,['English'],7.9,"[1332, 1336, 1360, 1361, 1442, 1930, 6059, 6149, 9409, 9826, 10123, 10594, 15090, 15151, 33598, 190532, 207268, 252768]",7000000,False
46,[18],8.274,"['Danish', 'German', 'English']",7.8,"[236, 516, 739, 894, 970, 1328, 1421, 1608, 1611, 1655, 5600, 12996, 18187, 156181, 208349]",1300000,False
47,[18],39.175,['English'],8.4,"[818, 825, 851, 1541, 1721, 3927, 4142, 4565, 9181, 34117, 156761, 179173, 212803, 260426]",63000000,False
48,"[16, 10751]",83.791,['English'],7.8,"[970, 5656, 10026, 11477, 14785, 15097, 33635, 33759, 33760, 154896, 156948, 179430, 179431, 180557, 180568, 180574, 181068]",94000000,False
49,"[35, 18, 10749]",45.517,['English'],8.5,"[422, 458, 521, 791, 818, 970, 2957, 6054, 9673, 10235, 162365, 180204, 187300, 190255, 190532]",55000000,False
50,"[18, 10752]",31.922,"['English', 'Vietnamese']",8.1,"[236, 549, 720, 818, 917, 1589, 2903, 2956, 2957, 2999, 4747, 5299, 10075, 10084, 10787, 11106, 11400, 12425, 14900, 14955, 15240, 18543, 46962, 158780, 161840, 162365, 165431, 226426, 227845]",30000000,False
51,"[18, 36]",15.948,['English'],7.5,"[789, 1775, 1956, 2883, 3398, 4089, 4090, 4096, 4097, 4100, 4101, 4102, 4104, 4106, 4107, 4108, 4109, 4112, 5565, 6089, 6157, 6987, 9031, 9672, 288302]",22000000,False
52,"[28, 18, 12]",44.439,['English'],8.2,"[588, 970, 1394, 1395, 1399, 1405, 2280, 2831, 5049, 6917, 9748, 10141, 10520, 12995, 14704, 18543, 179780, 192230, 235791, 235792, 235793, 242039, 250224]",103000000,False
53,"[18, 10752, 10749]",20.079,['English'],8.0,"[531, 697, 1459, 2076, 3136, 4020, 4021, 5809, 9840, 179585, 182599, 222744, 230457]",4000000,False
54,[18],50.336,['English'],8.1,"[1480, 1680, 1992, 2462, 2463, 3230, 3734, 6009, 6257, 9673, 9713, 9856, 10756, 11268, 13160, 33519, 228041, 230113]",10000000,False
55,"[18, 80]",33.083,"['Italian', 'English']",8.5,"[242, 378, 818, 1196, 1228, 1583, 1857, 2149, 3149, 5565, 9672, 9826, 10291, 10292, 10391, 41523, 214983, 214985]",25000000,False
56,[18],19.199,['English'],8.0,"[570, 1543, 1900, 3149, 10093, 10726, 10938, 18021, 33476, 198536]",33000000,False
57,"[10749, 14, 18, 35]",18.932,"['English', 'French', 'Italian']",7.6,"[563, 901, 902, 903, 904, 905, 1442, 1521, 10854, 34117, 156597, 181324, 220046]",14600000,False
58,"[14, 12]",197.808,['English'],8.1,"[1430, 2343, 10821, 10873, 177912, 246466]",125000000,False
59,"[35, 14]",9.89,['English'],7.7,"[380, 3179, 7942, 10181, 11857, 15090, 15199, 155457, 158199, 169276]",0,False
60,"[28, 80, 18, 53]",29.25,"['English', 'Spanish']",7.9,"[642, 703, 1523, 3713, 9727, 9812, 9826, 10051, 10085, 10726, 12670, 15076, 15363, 18023, 34117, 156121, 159434, 167104, 192261, 207268, 214983]",60000000,False
61,"[37, 53]",8.963,"['English', 'Italian']",7.7,"[75, 797, 5572, 10950, 11011, 11207, 12999, 14643, 15108, 18522, 166552, 174244, 241602]",730000,False
62,"[18, 36, 10752]",10.368,"['English', 'French']",7.7,"[971, 972, 973, 1550, 8053, 9826, 10089, 10877, 11872, 13069, 14624, 15053, 34079]",17500000,False
63,"[14, 12, 16, 10751]",72.173,['English'],7.8,"[334, 1318, 1395, 2041, 3799, 4613, 5331, 5774, 5895, 6054, 6253, 8044, 9109, 12554, 14643, 18543, 172784, 192913]",165000000,False
64,[37],34.011,['Italian'],8.5,"[801, 972, 1321, 2095, 2125, 2708, 6092, 9503, 10950, 11426, 156212]",1200000,False
65,[18],10.606,['English'],7.9,"[258, 378, 818, 970, 1228, 5565, 6150, 11038, 11196, 13006, 13015, 33519]",13000000,False
66,"[18, 10752, 9648]",11.075,"['French', 'Arabic', 'English']",8.1,"[378, 539, 570, 789, 1550, 2297, 5153, 6783, 8181, 14546, 14547, 14548, 15016, 41351]",10000000,False
67,"[28, 878, 12]",134.344,"['English', 'Japanese']",8.4,"[90, 470, 490, 1501, 1566, 1930, 2887, 3800, 4563, 9844, 10051, 10084, 10364, 10937, 12436, 12670, 186789, 234868]",160000000,False
68,"[12, 28]",31.77,"['German', 'Greek', 'English']",7.8,"[74, 83, 110, 113, 295, 483, 970, 1294, 1454, 2652, 2847, 2901, 5905, 6956, 10685, 11117, 14656, 18034, 41586, 175428, 176731, 184134, 214548, 240119]",48000000,False
69,"[18, 28, 53, 80, 9648]",13.352,"['Cantonese', 'Mandarin', 'Thai']",7.8,"[1568, 4654, 12354]",125000,False
70,"[18, 28, 53, 10752]",87.272,"['German', 'English', 'French', 'Italian']",8.2,"[90, 1008, 1430, 1560, 1666, 1956, 2433, 2652, 3260, 4426, 10144, 11105, 13519, 33847, 241930]",70000000,False
71,"[12, 18]",17.782,"['Danish', 'English']",7.8,"[970, 1890, 2796, 3593, 5565, 7312, 9672, 9880, 189092]",15000000,False
72,"[18, 35]",64.794,"['English', 'French']",8.3,"[3230, 4501, 6054, 9672, 155697, 156941, 165583, 167982, 179431, 184343, 223004]",13000000,False
73,"[35, 10749]",9.766,['English'],7.9,"[416, 918, 6038, 12193, 155457, 156037, 156764, 156866, 160362, 163726, 167043, 190190, 209606]",325000,False
74,"[18, 10751, 14]",34.96,['English'],8.3,"[65, 290, 974, 1252, 1415, 5571, 5683, 12999, 15274, 155733, 156282, 156578, 156597, 171826, 184559, 196664, 207317, 241332]",3180000,False
75,[18],16.067,"['Danish', 'Polish', 'English']",8.1,"[970, 2251, 2337, 4590, 5905, 10508, 10873, 14576, 15160]",3800000,False
76,"[27, 53, 12]",39.305,['English'],7.6,"[818, 966, 1495, 1913, 2069, 2580, 2988, 2993, 2996, 3737, 5160, 9398, 10852, 13031, 13078, 15097, 15098, 156175, 158259, 159743, 163300, 174617, 223059, 284923]",7000000,False
77,"[12, 878]",20.557,"['English', 'Spanish']",7.9,"[911, 1718, 1719, 1720, 1764, 1765, 1767, 2041, 12616, 155582, 158340]",63000000,False
78,"[12, 16, 14]",22.327,['Japanese'],7.9,"[83, 2763, 2765, 2964, 3800, 4458, 7035, 9794, 13141, 15174, 179431, 210024]",1000000,False
79,"[28, 80]",32.483,"['English', 'Japanese', 'French']",8.0,"[233, 732, 779, 780, 797, 1293, 1449, 1794, 1938, 3582, 7002, 9725, 9748, 10704, 11321, 13027, 18098, 162388]",30000000,False
80,"[80, 18, 9648, 53]",14.903,['English'],7.8,"[417, 550, 703, 1366, 11925, 12570, 13092, 33518, 162262, 167149, 207268, 208611]",35000000,False
81,"[10752, 36, 12, 18]",23.852,"['English', 'Arabic', 'Turkish']",8.0,"[487, 1975, 2504, 2673, 3575, 4100, 4107, 4535, 4717, 9672, 12995, 15140, 18034, 173259, 214410]",15000000,False
82,"[12, 18, 28]",36.128,"['Mandarin', 'English', 'French', 'Hindi', 'Japanese', 'Russian', 'Tamil']",7.4,"[658, 697, 1228, 2580, 4809, 6150, 7639, 10349, 11336, 12971, 14762, 18068, 18136, 18153, 156597, 158022, 163000, 163014, 168683, 171826, 227688, 240275, 242689, 263046, 277153]",120000000,False
